.id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene	Significant	Direction
CD4_Treg	9.49936238972046e-09	0.817868765149705	0.395	0.112	0.000182454253419361	Klrd1	YES	UP
CD4_Treg	9.91677295103453e-09	0.924463752152185	0.684	0.279	0.00019047145807052	Gm8369	YES	UP
CD4_Treg	1.22503150929249e-08	-0.503582654251036	1	0.999	0.000235291801989808	H2-K1	YES	DWN
CD4_Treg	1.29172790544122e-08	0.659384327684779	0.553	0.188	0.000248102178798095	Bcl2l11	YES	UP
CD4_Treg	1.41464488106547e-08	0.582142076538601	1	0.996	0.000271710842306245	Rpl13a	YES	UP
CD4_Treg	1.80786784697044e-08	1.40423618868523	0.684	0.372	0.000347237177367612	Nkg7	YES	UP
CD4_Treg	2.9552176838635e-08	0.849811663068167	0.947	0.666	0.000567608660539663	Ms4a6b	YES	UP
CD4_Treg	3.41694927413943e-08	0.256282225248568	0.158	0.021	0.00065629344708396	Tm6sf1	YES	UP
CD4_Treg	4.89297180744276e-08	-1.47729987063975	0.211	0.639	0.00093979309505553	Cd81	YES	DWN
CD4_Treg	5.30965391524029e-08	-1.12447561412732	0.842	0.967	0.0010198252275002	Tnfrsf9	YES	DWN
CD4_Treg	5.63000489210401e-08	-0.474492792641103	1	1	0.00108135503962642	B2m	YES	DWN
CD4_Treg	7.54846939635896e-08	0.834541622753665	0.474	0.161	0.00144983451695866	Themis	YES	UP
CD4_Treg	7.78825469848884e-08	0.139961173654852	0.105	0.01	0.00149589007993875	Als2cl	YES	UP
CD4_Treg	7.99283650259477e-08	0.561014673532657	0.316	0.075	0.00153518410705338	Klf3	YES	UP
CD4_Treg	8.9072895742934e-08	0.192335065262141	0.132	0.015	0.00171082310853453	Mirt1	YES	UP
CD4_Treg	9.98969872582763e-08	0.797837845799596	0.974	0.908	0.00191872143426971	Gm10260	YES	UP
CD4_Treg	1.36424965883798e-07	0.224319587662454	0.158	0.022	0.00262031431973011	Slamf7	YES	UP
CD4_Treg	1.98629183769322e-07	0.758808367927275	0.974	0.976	0.00381507073265736	Cd52	YES	UP
CD4_Treg	2.03787668788419e-07	-0.959927118587817	0.789	0.922	0.00391414975441917	Arl5a	YES	DWN
CD4_Treg	2.37270884824644e-07	0.619678589777541	1	0.989	0.00455726188482693	Actg1	YES	UP
CD4_Treg	2.85607940893676e-07	0.648506397362846	1	0.996	0.00548567172074484	AY036118	YES	UP
CD4_Treg	4.38892051427013e-07	-1.05303015985339	0.789	0.943	0.00842979963175864	Zfp36l1	YES	DWN
CD4_Treg	6.34714198605754e-07	-0.872705011688109	0.684	0.893	0.0121909556126207	Zdhhc18	YES	DWN
CD4_Treg	8.56873484212441e-07	0.601526891057902	1	0.987	0.0164579690112684	Rplp0	YES	UP
CD4_Treg	9.66044657346705e-07	-0.757254346736997	0.868	0.96	0.0185548197336582	H2-T23	YES	DWN
CD4_Treg	1.06313486269639e-06	0.582837926735916	1	0.995	0.0204196313078096	Tmsb10	YES	UP
CD4_Treg	1.15128920020581e-06	0.664008360767733	0.947	0.773	0.0221128116683529	Gmfg	YES	UP
CD4_Treg	1.15635961326328e-06	0.174934343469552	0.105	0.012	0.0222101990919478	Pxylp1	YES	UP
CD4_Treg	1.23319887129529e-06	0.606878494129913	0.895	0.541	0.0236860507209686	Gimap4	YES	UP
CD4_Treg	1.30649221435905e-06	0.246928791167157	0.158	0.026	0.0250937959611943	Spef2	YES	UP
CD4_Treg	1.47001096193294e-06	0.570380068500042	0.974	0.968	0.0282345005458459	Rpl35	YES	UP
CD4_Treg	1.51218154970231e-06	0.482730671961809	0.974	0.974	0.0290444710251323	Rack1	YES	UP
CD4_Treg	1.52750692828192e-06	0.470898393376631	1	0.992	0.0293388255715109	Rpl32	YES	UP
CD4_Treg	1.57349658774574e-06	0.82028914802731	0.342	0.104	0.0302221489608325	Itga4	YES	UP
CD4_Treg	1.64019758636568e-06	0.16951682917604	0.158	0.026	0.0315032750413255	Gm2682	YES	UP
CD4_Treg	1.64021976175736e-06	0.753678335807475	0.605	0.289	0.0315037009640736	Gramd3	YES	UP
CD4_Treg	1.78677819353559e-06	1.2587575250642	0.605	0.28	0.0343186487632381	Ifitm3	YES	UP
CD4_Treg	3.09280243994475e-06	-0.986393972788624	0.237	0.648	0.0594034564640189	Klrg1	NO	NS
CD4_Treg	3.79364382173381e-06	-0.819583222501851	0.895	0.958	0.0728645168840412	Samsn1	NO	NS
CD4_Treg	4.59228446242497e-06	0.860067678597238	0.316	0.102	0.0882040076697963	Cd8a	NO	NS
CD4_Treg	4.77306662808089e-06	0.425353385282488	1	0.987	0.0916762907255497	Rpl18	NO	NS
CD4_Treg	5.00914077441286e-06	0.46926022839367	0.289	0.082	0.0962105668541478	Tmem156	NO	NS
CD4_Treg	5.15943496216599e-06	-1.00005944776109	0.816	0.901	0.0990972673183222	Rora	NO	NS
CD4_Treg	5.23289982519803e-06	0.216612842551631	0.184	0.037	0.100508306942578	Fasl	NO	NS
CD4_Treg	6.02131995216797e-06	-1.18870268845707	0.158	0.518	0.11565149232129	Rgs16	NO	NS
CD4_Treg	6.06951702485824e-06	0.44880818560662	1	0.998	0.116577213496452	mt-Atp6	NO	NS
CD4_Treg	6.92482426715211e-06	-0.875549314357502	0.737	0.877	0.133005099699191	Cmtm7	NO	NS
CD4_Treg	6.97347915484472e-06	0.454533403305987	1	0.991	0.133939614127103	Rps9	NO	NS
CD4_Treg	7.86251927216018e-06	-1.16982564214285	0.237	0.569	0.151015407660381	Sdc4	NO	NS
CD4_Treg	9.23035141764946e-06	0.49343034862386	1	0.951	0.177287359678793	Rpl10	NO	NS
CD4_Treg	9.4446098309139e-06	0.470447229983107	0.974	0.985	0.181402621022363	Rpl12	NO	NS
CD4_Treg	9.57886601584591e-06	0.274616992726664	1	1	0.183981279566352	Gm42418	NO	NS
CD4_Treg	1.01398769403052e-05	0.418219700144993	1	0.993	0.194756616392441	Rps8	NO	NS
CD4_Treg	1.01663278231112e-05	-0.651477674999655	0.842	0.915	0.195264658498498	Ppib	NO	NS
CD4_Treg	1.0645358134775e-05	0.539791803997408	1	0.965	0.204465393694624	Rps18	NO	NS
CD4_Treg	1.35759278085269e-05	0.270575317729162	0.211	0.049	0.260752845418377	Pim2	NO	NS
CD4_Treg	1.42094602600629e-05	-0.855630348709687	0.684	0.865	0.272921103215028	Cst3	NO	NS
CD4_Treg	1.45420632318498e-05	0.432933336435933	1	0.992	0.279309408494138	Rps11	NO	NS
CD4_Treg	1.57931288589311e-05	0.469902997670246	0.263	0.075	0.30333862599349	Evi2a	NO	NS
CD4_Treg	1.82567761372071e-05	0.132380722813796	0.105	0.015	0.350657899267337	4930542C12Rik	NO	NS
CD4_Treg	1.88666212515207e-05	-0.833338175036352	0.289	0.62	0.362371194377958	Cirbp	NO	NS
CD4_Treg	1.97311044675979e-05	0.296465076276884	0.211	0.052	0.378975323509152	Dus2	NO	NS
CD4_Treg	2.14911055804545e-05	0.449837136548438	1	0.996	0.41277966488379	Rpsa	NO	NS
CD4_Treg	2.31353010628515e-05	-0.64547090718615	0.947	0.987	0.444359727514189	Ikzf2	NO	NS
CD4_Treg	2.62073371683193e-05	-1.09612017529151	0.211	0.531	0.503364324991908	Bmyc	NO	NS
CD4_Treg	2.95582570134139e-05	0.450221958436688	1	0.983	0.56772544245664	Rps5	NO	NS
CD4_Treg	3.73094142032339e-05	0.332194416573399	1	0.986	0.716601918601514	Rps4x	NO	NS
CD4_Treg	3.86538297629769e-05	-0.568455862470826	0.816	0.905	0.742424108257497	Gng5	NO	NS
CD4_Treg	5.1034851155876e-05	0.532997294528607	0.368	0.137	0.98022638615091	Serpinb6b	NO	NS
CD4_Treg	5.45514106737019e-05	0.900466539882059	0.184	0.045	1	Hspa1a	NO	NS
CD4_Treg	5.46289259599605e-05	0.537968628574695	0.763	0.514	1	Gpr183	NO	NS
CD4_Treg	6.03690224441777e-05	-1.02625349526306	0.5	0.797	1	Lmna	NO	NS
CD4_Treg	6.2601911641256e-05	0.449890519575241	0.316	0.113	1	Dpp4	NO	NS
CD4_Treg	6.28202411591858e-05	0.342680168153132	0.184	0.045	1	Dynlt1a	NO	NS
CD4_Treg	6.84292714509286e-05	-0.861121724154668	0.763	0.886	1	Dusp1	NO	NS
CD4_Treg	6.95453700275257e-05	-0.799486087904221	0.395	0.731	1	Pgam1	NO	NS
CD4_Treg	7.56040628054766e-05	0.367753061279104	0.974	0.97	1	Rpl26	NO	NS
CD4_Treg	8.51047768234136e-05	-0.45670385105162	0.868	0.968	1	Xist	NO	NS
CD4_Treg	8.55884353349213e-05	0.472174065176088	0.974	0.966	1	Rpl10a	NO	NS
CD4_Treg	9.19125293012718e-05	0.289965688499304	0.368	0.133	1	Ifi214	NO	NS
CD4_Treg	9.4406736948081e-05	-0.818863574221973	0.526	0.709	1	Msi2	NO	NS
CD4_Treg	0.000105885825228632	0.453276021952686	0.368	0.144	1	Lyst	NO	NS
CD4_Treg	0.00011056437439968	-0.518454604961502	0.947	0.996	1	Vim	NO	NS
CD4_Treg	0.000113421580918022	0.336962705509246	0.237	0.072	1	Gm43065	NO	NS
CD4_Treg	0.000119269302861159	-0.783735387081964	0.289	0.557	1	Syngr2	NO	NS
CD4_Treg	0.000126898421660982	0.454649866991717	0.5	0.227	1	Epb41	NO	NS
CD4_Treg	0.000138045879712906	0.340657037120139	1	0.992	1	Rpl37	NO	NS
CD4_Treg	0.000140001954457107	0.452251869011545	0.184	0.049	1	Cd7	NO	NS
CD4_Treg	0.000153365746814625	-0.475006195733641	0.947	0.975	1	Tnfrsf18	NO	NS
CD4_Treg	0.000160152109825209	-0.588836453561297	0.921	0.944	1	Capg	NO	NS
CD4_Treg	0.000175236167957945	0.193682709116217	0.105	0.019	1	Slc6a20b	NO	NS
CD4_Treg	0.00017785175711668	-0.560334362209627	0.158	0.445	1	Skp1a	NO	NS
CD4_Treg	0.000182453590030658	-0.868604721197518	0.632	0.802	1	Itgae	NO	NS
CD4_Treg	0.000194261951458138	-0.502296829846332	0.921	0.969	1	Hmgb1	NO	NS
CD4_Treg	0.000200596897351874	-0.465386253659053	1	0.985	1	Hif1a	NO	NS
CD4_Treg	0.000201038391269702	-0.579790344374651	0.789	0.887	1	Gpx4	NO	NS
CD4_Treg	0.000202722468902338	0.752662799130017	0.368	0.163	1	Gbp2	NO	NS
CD4_Treg	0.000207492006449452	-0.784890821173049	0.158	0.451	1	Glcci1	NO	NS
CD4_Treg	0.000212239827800477	0.311892986159048	1	0.998	1	Rplp1	NO	NS
CD4_Treg	0.000212329239587976	-0.523927223037646	0.868	0.931	1	Morf4l1	NO	NS
CD4_Treg	0.000216221995298533	0.507815133656633	0.553	0.286	1	Ripor2	NO	NS
CD4_Treg	0.000226600921869708	0.338650961654268	0.316	0.114	1	Atg4b	NO	NS
CD4_Treg	0.000229138497920067	0.440520003042339	0.316	0.117	1	Cd226	NO	NS
CD4_Treg	0.000242414897819291	0.322072304941568	0.974	0.978	1	Rpl4	NO	NS
CD4_Treg	0.00024825783066767	0.422224147749027	1	0.989	1	Rps12	NO	NS
CD4_Treg	0.000251831976968033	0.486913946224216	0.816	0.59	1	Ptpn22	NO	NS
CD4_Treg	0.000261365373511624	0.400187681894524	1	0.977	1	Rpl14	NO	NS
CD4_Treg	0.000262934865475727	0.598488852555211	0.526	0.274	1	Neurl3	NO	NS
CD4_Treg	0.000287928802805248	-0.689421835398513	0.711	0.869	1	Pmepa1	NO	NS
CD4_Treg	0.000288159710934921	0.608747117950212	0.974	0.932	1	Rps2	NO	NS
CD4_Treg	0.000290736954479857	-0.764010535147582	0.447	0.67	1	Ttc39c	NO	NS
CD4_Treg	0.000328875394071205	0.380560079128648	0.5	0.23	1	Abcb1a	NO	NS
CD4_Treg	0.000329782756899637	0.378402285151695	1	0.997	1	mt-Co2	NO	NS
CD4_Treg	0.000331321274490931	0.316497566000717	0.974	0.991	1	Rps10	NO	NS
CD4_Treg	0.000354693871590115	-0.582144485197061	0.579	0.772	1	Park7	NO	NS
CD4_Treg	0.000357730648359728	0.308351835930287	1	0.989	1	Rps13	NO	NS
CD4_Treg	0.000359364418639892	0.42026528725856	0.921	0.886	1	Snrpg	NO	NS
CD4_Treg	0.000394859713381645	0.197236802239069	0.105	0.02	1	Fbxl22	NO	NS
CD4_Treg	0.000394977681060392	0.406529044983672	0.526	0.276	1	Il6st	NO	NS
CD4_Treg	0.000406379112633225	0.385869126182598	1	0.979	1	Rps26	NO	NS
CD4_Treg	0.000418656328850893	0.264932098588235	0.132	0.03	1	Pik3ip1	NO	NS
CD4_Treg	0.000424826055593273	0.392758879298776	0.553	0.291	1	Arid5a	NO	NS
CD4_Treg	0.000452113725530412	0.356628716118601	0.158	0.042	1	Aig1	NO	NS
CD4_Treg	0.000463127149650391	0.407637876605539	0.211	0.068	1	Serpinb9	NO	NS
CD4_Treg	0.000471153064199389	-0.717083898531635	0.237	0.51	1	Rara	NO	NS
CD4_Treg	0.000497088211564348	-0.627153164151266	0.105	0.392	1	Tspan32	NO	NS
CD4_Treg	0.000500825794440839	0.363329302291682	1	0.999	1	mt-Co3	NO	NS
CD4_Treg	0.000500937378580989	-0.734667224730571	0.184	0.452	1	Pcgf5	NO	NS
CD4_Treg	0.000502824582794774	0.631142753842348	0.526	0.282	1	Ybx3	NO	NS
CD4_Treg	0.000544603540694867	0.388252990202205	0.421	0.196	1	Gbp2b	NO	NS
CD4_Treg	0.000585646280291561	-0.540917854555264	0.474	0.738	1	Tap2	NO	NS
CD4_Treg	0.000586484988160652	0.580645489108878	0.632	0.394	1	Poldip3	NO	NS
CD4_Treg	0.000592804623947603	-0.656440871630657	0.868	0.96	1	Il2ra	NO	NS
CD4_Treg	0.000627125020762485	-0.677434300411606	0.237	0.54	1	Ramp1	NO	NS
CD4_Treg	0.000637468192689753	-0.549186814799362	0.553	0.755	1	Ost4	NO	NS
CD4_Treg	0.000651176636660582	0.182047375214079	0.105	0.021	1	9330160F10Rik	NO	NS
CD4_Treg	0.000654040859637325	-0.631197525114632	0.895	0.931	1	Aldoa	NO	NS
CD4_Treg	0.000675286912642475	-1.14350132237822	0.579	0.684	1	Nr4a1	NO	NS
CD4_Treg	0.000702208196285818	-0.831341691325145	0.132	0.411	1	Ahr	NO	NS
CD4_Treg	0.00071861957418908	-0.495747204955734	1	0.99	1	Nfkbia	NO	NS
CD4_Treg	0.000725005446984532	0.292522965458645	1	0.995	1	Rplp2	NO	NS
CD4_Treg	0.000758175261594983	0.277825470170646	0.553	0.277	1	Map3k8	NO	NS
CD4_Treg	0.000790416921615203	-0.827129213418757	0.526	0.715	1	Tpi1	NO	NS
CD4_Treg	0.000795521215080772	-0.542116387506262	0.737	0.825	1	Dad1	NO	NS
CD4_Treg	0.000802573156161549	-0.652871935645659	0.211	0.497	1	Epb41l2	NO	NS
CD4_Treg	0.000812307416974934	0.319233898190452	0.211	0.069	1	Rasgrp2	NO	NS
CD4_Treg	0.00085539955908875	-0.835770031754777	0.395	0.621	1	Rbpj	NO	NS
CD4_Treg	0.000873978918015814	0.420434426921595	0.947	0.904	1	Sub1	NO	NS
CD4_Treg	0.00088762956593095	0.418048323388167	1	0.987	1	mt-Cytb	NO	NS
CD4_Treg	0.00090517261124508	0.326771989480507	0.974	0.984	1	Rps7	NO	NS
CD4_Treg	0.000940547406465822	0.590092597299342	0.868	0.779	1	Gimap3	NO	NS
CD4_Treg	0.00095930910338846	-0.447737513387076	0.947	0.943	1	Ptprcap	NO	NS
CD4_Treg	0.000959677518244675	0.421641173287653	0.447	0.216	1	Arap2	NO	NS
CD4_Treg	0.000969212927138173	0.27259881481303	1	0.992	1	Rps21	NO	NS
CD4_Treg	0.000979439921543486	0.363852225675878	0.316	0.132	1	S1pr1	NO	NS
CD4_Treg	0.000981613253178265	0.284346783973329	0.158	0.045	1	Cd40lg	NO	NS
CD4_Treg	0.000984238801543245	0.203000605470954	0.158	0.044	1	Ogfod1	NO	NS
CD4_Treg	0.00101353944345989	0.572133848928847	0.421	0.21	1	Ctsw	NO	NS
CD4_Treg	0.00101681350402185	0.430193263685058	0.974	0.973	1	Rpl28	NO	NS
CD4_Treg	0.00102202441145809	-0.715879403493422	0.053	0.292	1	Cdkn1a	NO	NS
CD4_Treg	0.00102310289373176	0.318494814000269	0.184	0.058	1	Lilrb4a	NO	NS
CD4_Treg	0.0010295721298211	0.265798243448305	0.184	0.057	1	Arsb	NO	NS
CD4_Treg	0.00104135451083292	0.384754900331186	0.711	0.459	1	Epsti1	NO	NS
CD4_Treg	0.0010595448357145	-0.61189946419923	0.579	0.733	1	Rabac1	NO	NS
CD4_Treg	0.00106646607938607	0.361794236153733	0.316	0.136	1	B230307C23Rik	NO	NS
CD4_Treg	0.00106673880422524	0.38869555026516	1	0.976	1	Hspa8	NO	NS
CD4_Treg	0.00110434309293407	-0.453986398701755	0.789	0.878	1	Pdia3	NO	NS
CD4_Treg	0.00110936677095896	-0.448504430268366	0.947	0.981	1	Shisa5	NO	NS
CD4_Treg	0.00114000575718252	-0.394204473527663	1	0.975	1	Ndfip1	NO	NS
CD4_Treg	0.00115234999088694	0.215281364455635	1	0.999	1	Tpt1	NO	NS
CD4_Treg	0.0011612536931737	0.451397533485677	0.579	0.332	1	Dgka	NO	NS
CD4_Treg	0.00116591420957384	0.326025867660473	0.974	0.981	1	Rps6	NO	NS
CD4_Treg	0.00120331367293112	0.480430099209046	0.842	0.736	1	Chmp4b	NO	NS
CD4_Treg	0.00120551560489656	-0.611220961581734	0.053	0.289	1	Lyz2	NO	NS
CD4_Treg	0.00124681715601974	0.262992834100156	0.684	0.416	1	Isg15	NO	NS
CD4_Treg	0.00125861153199529	-0.669939683736216	0.579	0.714	1	Itm2c	NO	NS
CD4_Treg	0.00128222465949354	0.483502716501631	0.921	0.889	1	Rpl22l1	NO	NS
CD4_Treg	0.00131927231371144	0.4834558133129	0.763	0.589	1	Saraf	NO	NS
CD4_Treg	0.00133467429415162	0.565833323996883	0.474	0.265	1	Slamf6	NO	NS
CD4_Treg	0.0013591076058944	0.656060248424832	0.684	0.422	1	Chd7	NO	NS
CD4_Treg	0.00145644530640376	0.36989131832608	1	0.963	1	Laptm5	NO	NS
CD4_Treg	0.00146133000676955	-0.602411702654611	0.316	0.525	1	Spint2	NO	NS
CD4_Treg	0.00146671295236821	-0.505670834405211	0.684	0.87	1	Anp32a	NO	NS
CD4_Treg	0.00153308328587381	-0.566207614396229	0.316	0.566	1	Mllt6	NO	NS
CD4_Treg	0.00153427055085244	0.195566080839253	0.263	0.099	1	Med6	NO	NS
CD4_Treg	0.00153940917312246	-0.655276666936881	0.053	0.283	1	Jdp2	NO	NS
CD4_Treg	0.00156629761666799	-0.633197016041273	0.474	0.664	1	Sema4d	NO	NS
CD4_Treg	0.00156828860476782	-0.409131465495538	1	0.995	1	Fth1	NO	NS
CD4_Treg	0.00157056388102912	0.401675405085349	0.737	0.498	1	Ppp1cb	NO	NS
CD4_Treg	0.00158142266911365	0.112099798318537	0.105	0.023	1	Slc25a33	NO	NS
CD4_Treg	0.00159416929591642	-0.452369856587452	0.211	0.486	1	Osbpl3	NO	NS
CD4_Treg	0.00162396556578116	0.289815279532484	1	0.995	1	Rpl18a	NO	NS
CD4_Treg	0.00164874979373671	0.409064661141748	0.553	0.321	1	Itgb1	NO	NS
CD4_Treg	0.0016636047855993	0.280780980459142	0.368	0.166	1	Plcxd2	NO	NS
CD4_Treg	0.00166662682852266	0.277227016752441	0.974	0.98	1	Rps15	NO	NS
CD4_Treg	0.00171008790771473	-0.669226384221521	0.368	0.581	1	Ikzf3	NO	NS
CD4_Treg	0.00177214634717052	0.308232475631838	0.211	0.075	1	E530011L22Rik	NO	NS
CD4_Treg	0.00180026893212855	-0.694591304871294	0.737	0.82	1	Pgk1	NO	NS
CD4_Treg	0.00183535180039613	-0.542217068590702	0.184	0.419	1	Rnf187	NO	NS
CD4_Treg	0.00185118183159457	0.542116812742073	0.579	0.372	1	Hivep2	NO	NS
CD4_Treg	0.00186749961737093	0.406325514968295	0.211	0.079	1	Dlg4	NO	NS
CD4_Treg	0.00187030271478182	-1.17535718342856	0.474	0.692	1	Jun	NO	NS
CD4_Treg	0.00191878167870562	0.238887998616072	0.184	0.061	1	Pde2a	NO	NS
CD4_Treg	0.00192364826966013	0.318861301041168	0.395	0.188	1	Cxcr6	NO	NS
CD4_Treg	0.00196123860162649	0.164704977858915	0.105	0.024	1	2810001G20Rik	NO	NS
CD4_Treg	0.00198024350857688	-0.582058128992212	0.395	0.653	1	Plec	NO	NS
CD4_Treg	0.00199296389709648	0.379546778301879	0.842	0.63	1	Atp5o	NO	NS
CD4_Treg	0.00199552154017701	0.394355084667126	0.684	0.521	1	Smchd1	NO	NS
CD4_Treg	0.00203818629684243	0.16507592220453	0.158	0.047	1	Magohb	NO	NS
CD4_Treg	0.00212846850495829	0.215099134435598	0.105	0.025	1	Itgam	NO	NS
CD4_Treg	0.00214040145583473	0.233548525829792	1	0.998	1	Eef1a1	NO	NS
CD4_Treg	0.00214123731330982	-0.600823133570576	0.395	0.61	1	Wls	NO	NS
CD4_Treg	0.00221109614439919	0.346790945281268	1	0.999	1	mt-Co1	NO	NS
CD4_Treg	0.00222558791849537	0.434492461483875	0.947	0.811	1	Rbm25	NO	NS
CD4_Treg	0.00223217698097436	-0.533360194665546	0.263	0.504	1	Ube2r2	NO	NS
CD4_Treg	0.0022381684557868	-0.562022932935571	0.158	0.387	1	Kcnn4	NO	NS
CD4_Treg	0.00225720861217304	-0.964574626635355	0.079	0.306	1	Mt1	NO	NS
CD4_Treg	0.0022653392435108	0.117681405836135	0.105	0.025	1	Mettl15	NO	NS
CD4_Treg	0.00226789158834186	-0.544449142887539	0.158	0.407	1	Reps1	NO	NS
CD4_Treg	0.00228718165690953	0.394975787620332	0.447	0.226	1	H60b	NO	NS
CD4_Treg	0.00237850249987049	0.15176532733303	0.105	0.025	1	Mrrf	NO	NS
CD4_Treg	0.00249505959392203	0.137295821395813	0.211	0.073	1	Plek	NO	NS
CD4_Treg	0.00251726045931904	-0.627935864481711	0.053	0.276	1	Slfn5	NO	NS
CD4_Treg	0.00251727222685508	-0.659366301714013	0.342	0.553	1	Pdia6	NO	NS
CD4_Treg	0.00251958295833323	0.370699439809293	1	0.999	1	Tmsb4x	NO	NS
CD4_Treg	0.00257535165642895	0.217001836444168	0.132	0.037	1	Cdkn2b	NO	NS
CD4_Treg	0.00257676042586191	-0.45975418616887	0.711	0.826	1	Arf1	NO	NS
CD4_Treg	0.00264397578785941	-0.582764190941227	0.132	0.346	1	Csrp1	NO	NS
CD4_Treg	0.00265355497680504	-0.827311203290055	0.632	0.744	1	Nrip1	NO	NS
CD4_Treg	0.0026660578773323	-0.608470480858768	0.158	0.385	1	Snx9	NO	NS
CD4_Treg	0.00267433067327123	0.324449907483146	0.316	0.145	1	Map1lc3a	NO	NS
CD4_Treg	0.00270872510063176	0.234149423185112	0.211	0.076	1	Sclt1	NO	NS
CD4_Treg	0.00277176946490215	0.352036757561192	1	0.995	1	Rps20	NO	NS
CD4_Treg	0.00290115234932835	-0.459974912257313	0.079	0.317	1	Arhgap4	NO	NS
CD4_Treg	0.00292151165486612	-0.542153922505035	0.263	0.482	1	Unc119	NO	NS
CD4_Treg	0.00295607172680299	-0.415483958811396	0.026	0.235	1	E2f4	NO	NS
CD4_Treg	0.00301630553896149	0.142208891688744	0.132	0.037	1	Nod1	NO	NS
